wave length,direct light
692.11,49744.2
692.54,49764
692.98,49345.8
693.42,49294
693.85,49106
694.29,49212
694.72,49204.6
695.16,48792.4
695.59,48928.2
696.03,48235
696.46,48144.2
696.9,48088.2
697.33,48154.8
697.76,47904.2
698.2,47918.4
698.63,47888.8
699.07,48064.8
699.5,47832.8
699.93,47658
700.36,47458.4
700.8,47754.2
701.23,47265.6
701.66,47421
702.09,46996.8
702.52,46849.6
702.96,46882.4
703.39,47060.4
703.82,47009.6
704.25,46692.8
704.68,46645.2
705.11,46720.8
705.54,46859
705.97,46611.6
706.4,46625.6
706.83,46833.2
707.26,46831.6
707.69,46415.6
708.12,46689.4
708.55,46875.6
708.97,46412
709.4,46220.4
709.83,46300
710.26,46135.6
710.69,45985
711.11,45549.6
711.54,45556.8
711.97,45386.6
712.39,45838.6
712.82,45684.4
713.25,45672.4
713.67,45366
714.1,45807.4
714.53,45657.2
714.95,45569.8
715.38,45734.2
715.8,45084.6
716.23,45238
716.65,45200.2
717.08,45236.4
717.5,45116.2
717.92,44938
718.35,44546.8
718.77,45066.8
719.2,44859.2
719.62,44660
720.04,44869.6
720.46,44308.4
720.89,44623.4
721.31,44850.6
721.73,45189.4
722.15,45116
722.57,45249.4
723,44933.6
723.42,45414
723.84,45359.8
724.26,45522
724.68,45278.6
725.1,45063.8
725.52,45004
725.94,45069.2
726.36,44954
726.78,44943.4
727.2,44479.6
727.62,44250.4
728.04,44385.8
728.46,44433.4
728.88,44631
729.29,45029.4
729.71,45251.6
730.13,45168.6
730.55,45046.6
730.97,44538
731.38,44510.2
731.8,44553.4
732.22,44407.2
732.63,44265.4
733.05,44457.2
733.47,44106.6
733.88,44041.8
734.3,44360.2
734.71,44085
735.13,43947.8
735.54,43987.6
735.96,44228.2
736.37,43992.6
736.79,44279.6
737.2,44379.4
737.62,44431.6
738.03,44355.4
738.44,44305.4
738.86,44149.8
739.27,44091.6
739.68,44223.8
740.1,43914
740.51,43789
740.92,43821.6
741.33,43766.6
741.75,43515
742.16,43261.6
742.57,43389.4
742.98,43298
743.39,43408.2
743.8,43829
744.21,43767
744.63,43441
745.04,43219.8
745.45,42871.2
745.86,42931
746.27,43242.6
746.67,43268.2
747.08,43139.4
747.49,42882.6
747.9,43162
748.31,43138.6
748.72,42906.4
749.13,42642.8
749.54,42848
749.94,42608.8
750.35,42339.2
750.76,42364.4
751.17,42296.4
751.57,42209.4
751.98,41808.6
