length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
471.24,570.8,577.2,526,503.4,401.8,389.4,371,220.2,87.4,-10.4
471.78,555.2,571,561.6,479,463.2,393,328.2,243.4,109.4,24.6
472.31,598,576.8,549.6,468.2,430.4,405.4,338.2,234.2,115,-14.4
472.84,585.8,591.8,554,514.4,451.2,429,371.2,257.6,81.6,-10.4
473.37,607,595,563.6,564.8,463.4,401.2,366.4,272.8,77.8,-3.6
473.9,610.6,610,596.2,560.8,490.4,416.4,331,244.2,128.6,-10.8
474.43,685.6,596.8,626.2,549.2,498.6,440.2,366.8,266.2,148.8,0.8
474.96,613,622.8,583.6,556.8,524.2,441.2,352.4,271.4,75.6,-29.4
475.49,654,660,621.8,598.6,520.2,444.6,378.2,275.2,87.2,7.4
476.02,674.8,666,654,592.2,551.8,488.2,377.8,290,104,9.4
476.55,709.6,687.4,635,590.8,525.4,482.8,375.2,296.6,71.6,-12.2
477.08,696.6,716.2,641.4,623.2,562.4,519.6,422.8,256,135.2,0.6
477.61,714,685.6,698.2,653.8,548.4,496.4,466.8,312.8,138.2,11.8
478.14,760,765.2,704.4,622.6,602.4,496.4,439.4,329.6,109,20.6
478.67,817.2,768.4,737.2,649.2,603,522.4,411.6,355,147.2,16.8
479.2,788.4,729.4,743.8,706.6,667.6,555.6,457,325.8,134.2,26.6
479.73,817.4,813.8,789.6,692.6,660,579.6,465.8,342.6,167.6,-12.2
480.25,866.2,819.2,790,740.2,678.6,592,481.8,346.6,135.6,-40.4
480.78,881.8,836.4,826.6,769.4,710,592.4,472.4,359.4,151.6,12.8
481.31,903.4,835,848.4,768,707.2,594.6,512.8,370,179,28.2
481.84,904.6,920.2,879,823.2,682.4,629.8,501.6,371.2,168.4,11
482.37,918.2,907.8,872,811.6,733.4,627.6,484.6,394.8,164.2,38
482.89,932.2,931.2,860,817.4,713,659.8,554,397,186.8,-5.2
483.42,994.8,937.6,941.4,885.6,737.8,660.4,507,387.2,176.2,-4.6
483.95,979.6,949.4,925.8,880,814.8,688.8,571,421.2,173.2,-37.2
484.47,994.2,1037.4,940,894,847.4,689.4,580,429.2,180.2,-18.6
485,1070.8,1027.4,1006.8,940.4,797.4,743.6,594.6,393,182,-18.6
485.53,1056.2,1005,1001.4,973.6,866.8,718,632.4,448.2,174.8,2
486.05,1081.4,1079.2,1040.2,1001.8,882.4,759,636.8,464.4,175.4,-7.8
486.58,1144.6,1103.4,1088,1006,878.2,803.6,665.4,479.4,183,29.6
487.1,1155.4,1129,1082.4,993.6,889.2,798.2,661.4,454,213.8,10.6
487.63,1228.2,1121,1090,1046.8,905.2,813.2,681.4,492,166,-8.4
488.16,1217.4,1170.2,1087.4,1063.8,921.6,811,650,517.8,185.6,25.2
488.68,1234.2,1217.2,1163.2,1069.8,910.6,862.2,661.6,497.6,194.2,9.6
489.21,1216.6,1227.8,1180.4,1039.8,969.8,838.2,680.6,508.6,196.2,2.8
489.73,1212,1238,1194.4,1083,973.8,882,697.6,494,226.2,-0.2
490.25,1287,1258.4,1224.4,1128.8,1021,868.8,720,524,256.6,2.8
490.78,1302,1293,1242.2,1126.8,1073.2,880.6,769.4,544.6,234.6,-26.4
491.3,1319.8,1290,1255.4,1157,1051.2,868.8,764.4,571.4,219.2,24.8
491.83,1326.6,1341.6,1252.8,1165.8,1053,914.6,762.2,559.2,264.6,-2.4
492.35,1376.6,1356.8,1255.4,1191.4,1047.8,973.4,758,560.8,251.4,1.4
492.87,1360.6,1359,1238.6,1212.8,1052.6,963.6,758.4,566.2,248,-2.2
493.4,1348.4,1398.2,1277.6,1181.8,1103,979.6,814.2,574,250.4,-15.2
493.92,1404.4,1378.2,1306,1187.4,1103.6,944,791.6,612.6,268.6,35.4
494.44,1419.2,1426,1365.8,1277.6,1128.6,957.2,818,582.2,248,9.4
494.96,1416.8,1420.6,1337.4,1317,1138.8,967,810,592.2,272.4,10.4
