wave leght [nm]\ AOI [dig],0,5,10,15,20,25,30,35,40,45,50,55,60,65
434.06,0,17,7.8,-1.8,10.4,33.2,-9,21.8,-42.6,-24.2,8,21.8,-0.2,33.2
434.61,13,-7.8,-15,20.4,-14.8,26.2,-34.6,9,30.4,-40.8,1.4,20.4,21.8,-3.8
435.15,-17.6,7,-27.6,-3.6,14.8,-2.4,-2.6,-16.2,18,-44.8,-19.2,11.8,-3.2,11.8
435.7,-1.8,34.6,23,-0.6,11,-19.8,15.2,0.6,7.6,-31.8,1.4,8.8,-19,34.2
436.24,-2.6,-29,11.2,-50,29.8,16.8,18.4,-7.4,-2,-11.2,-2.8,-9.4,20.2,12
436.79,-50.4,-2.4,14.8,10,37.6,-21,11.4,-15,2,-8.8,-34.8,-20.2,5.6,-17.8
437.33,4.6,-11.8,7.8,-6.2,-8.8,37.8,-18,-5.6,-0.2,24.4,-11.6,18.2,10.2,12.8
437.88,-27,6.2,23.4,1.6,2.4,21.4,-17,-12.8,-4.4,11,-43.4,-14.6,-28.8,-8.2
438.42,23.6,15.6,-15.8,-9.6,3,-9.2,-8.8,12.8,-29.2,-21,-8,5.2,-14,1.2
438.97,-17,-22,-13.8,-27,-0.2,-32.6,-23.2,20.2,-3.2,31.8,4.8,3.2,-9.8,5.4
439.51,-2.6,-8.4,11.4,-11.6,-5,2.4,-13,14.2,30,-0.2,3.4,40,1.4,-19.2
440.05,52.4,19.2,-4.8,0.4,-1.8,9.4,38.2,22.4,-8.4,20,-2.4,7.6,-11.4,17.8
440.6,-8.4,14,-4,9.8,-3.6,-2.2,10.2,10.4,-18.8,-4.6,11.8,-0.2,0.8,-19.6
441.14,25.2,-7.8,-4.8,-6,-11.6,-9.4,-12,-7,-13.8,-11,-10.8,0.8,23.8,-4.8
441.68,-33,17.6,-7,-15.2,-8.6,20.8,-5.8,-0.8,-12.6,7.4,-16.6,19.6,-16.6,-12.2
